Age,Income,Credit_Score,Income_to_Expense_Ratio,Marital_Status,Guarantor,Purpose,Dependents,Ongoing_Loans,Ongoing_Loan_Amount,Ongoing_Loan_EMI,FD,FD_Amount,Geo_Location,Employment_Years,Loan_Amount,Tenure_Months,EMI,Interest_Rate,Interest_Amount
51,44700,648,0.48,Married,Yes,Education loan,4,3,1602588,34097,Yes,182031,Urban,4,50000,36,1625,10.52,8500
62,133728,629,0.46,Married,Yes,Business loan,2,0,0,0,No,0,Urban,16,55363,12,4872,10.21,3101
23,81045,708,0.52,Married,Yes,Education loan,3,3,1413190,70659,No,0,Urban,10,50000,60,1060,9.92,13600
54,154972,622,0.32,Married,Yes,Auto loan,3,1,1068846,36856,Yes,888532,Urban,21,50000,60,1069,10.28,14140
50,11881,410,0.64,Married,No,Auto loan,4,0,0,0,No,0,Urban,24,50000,36,1694,13.4,10984
39,292933,388,0.45,Married,No,Personal loan,4,3,1992576,43316,Yes,492933,Urban,12,50000,120,764,13.62,41680
38,98059,732,0.8,Single,No,Business loan,2,0,0,0,No,0,Rural,35,70602,60,1506,10.18,19758
23,224566,398,0.73,Single,No,Medical loan,3,3,1029309,24507,Yes,973440,Rural,10,331979,36,11349,14.02,76585
23,119388,838,0.63,Married,No,Personal loan,2,2,129949,3712,No,0,Urban,4,50000,24,2298,9.62,5152
65,208303,900,0.45,Married,No,Medical loan,1,0,0,0,No,0,Urban,13,89049,60,1826,8.5,20511
21,275406,445,0.35,Single,No,Personal loan,5,1,575056,10649,Yes,996182,Urban,21,421927,60,9610,13.05,154673
47,91972,556,0.74,Single,No,Education loan,3,1,1125831,75055,No,0,Rural,2,50000,36,1671,12.44,10156
28,64722,488,0.54,Married,Yes,Personal loan,4,1,1926954,37056,Yes,259763,Urban,34,50000,120,706,11.62,34720
47,191890,539,0.36,Married,No,Personal loan,0,1,832752,22506,No,0,Urban,31,50000,120,720,12.11,36400
48,279045,802,0.34,Single,No,Business loan,1,3,552818,10051,No,0,Urban,37,50000,60,1049,9.48,12940
41,127473,570,0.32,Married,No,Business loan,5,3,448773,8467,No,0,Rural,39,50000,120,711,11.8,35320
26,280741,819,0.74,Married,No,Medical loan,0,0,0,0,No,0,Urban,23,207748,120,2666,9.31,112172
20,225286,849,0.36,Married,No,Business loan,2,2,486535,23168,No,0,Rural,27,50000,60,1038,9.01,12280
48,253896,413,0.57,Married,No,Personal loan,5,2,1087454,20912,Yes,204114,Urban,20,50000,120,757,13.37,40840
57,166877,638,0.52,Single,Yes,Business loan,2,0,0,0,Yes,192714,Urban,32,174455,24,8059,10.12,18961
54,21874,867,0.61,Married,No,Business loan,2,1,1344532,25368,No,0,Urban,27,50000,36,1586,8.83,7096
53,234137,658,0.81,Married,Yes,Home loan,4,2,929588,46479,No,0,Rural,38,50000,60,1060,9.92,13600
41,286223,633,0.81,Married,No,Home loan,2,2,68691,5724,No,0,Urban,35,139968,120,1941,11.17,92952
48,105408,468,0.52,Single,Yes,Auto loan,0,0,0,0,Yes,681228,Urban,9,395426,240,4442,12.32,670654
23,130606,638,0.21,Married,No,Education loan,1,1,1460413,54089,Yes,302238,Urban,36,50000,120,692,11.12,33040
19,130062,560,0.5,Single,Yes,Education loan,4,3,1858979,32613,No,0,Urban,39,50000,120,685,10.9,32200
37,22100,498,0.62,Single,No,Business loan,1,3,1546255,64427,Yes,69923,Urban,24,50000,120,732,12.52,37840
45,160872,510,0.59,Married,Yes,Auto loan,2,2,1085750,22158,No,0,Urban,16,50000,60,1097,11.4,15820
28,204472,586,0.66,Married,Yes,Auto loan,3,3,1043813,41752,No,0,Urban,3,50000,60,1090,11.14,15400
21,244196,771,0.31,Married,No,Medical loan,5,0,0,0,No,0,Urban,9,56775,240,558,10.29,77145
32,217609,781,0.65,Married,Yes,Home loan,4,2,977767,19171,Yes,262904,Urban,24,50000,60,1030,8.69,11800
23,161014,322,0.33,Married,Yes,Auto loan,2,2,1806078,53119,No,0,Urban,31,50000,36,1691,13.28,10876
47,293006,859,0.73,Married,Yes,Personal loan,4,1,915354,31563,Yes,757220,Urban,7,170969,60,3500,8.41,39031
55,283813,408,0.44,Married,No,Medical loan,3,3,531133,13618,Yes,265327,Urban,11,75393,240,905,13.42,141807
19,194844,595,0.7,Single,No,Business loan,0,1,1731029,55839,No,0,Urban,20,50000,24,2343,11.55,6232
32,288060,305,0.23,Married,Yes,Personal loan,0,2,524010,43667,Yes,59227,Rural,26,50000,60,1149,13.45,18940
28,283022,849,0.49,Married,Yes,Education loan,5,3,75993,3304,Yes,642868,Urban,29,385796,60,7824,8.01,83644
25,275129,502,0.69,Single,No,Home loan,0,1,1093110,28766,Yes,950199,Urban,9,319746,120,4770,12.98,252654
43,214720,624,0.36,Married,No,Personal loan,3,3,688409,12748,No,0,Rural,20,50000,36,1643,11.26,9148
62,51235,543,0.76,Married,No,Business loan,1,2,1596349,66514,No,0,Urban,0,50000,120,733,12.57,37960
61,291075,626,0.64,Single,No,Personal loan,3,2,154537,10302,No,0,Rural,8,50000,120,709,11.74,35080
22,102876,346,0.61,Married,No,Personal loan,3,2,1635188,45421,No,0,Urban,2,50000,120,792,14.54,45040
23,10336,890,0.45,Married,No,Auto loan,2,0,0,0,Yes,958910,Urban,18,400216,60,8230,8.6,93584
43,79504,312,0.54,Single,No,Home loan,0,1,142981,8410,Yes,673878,Urban,5,278951,24,13509,14.88,45265
21,109214,679,0.62,Single,No,Education loan,4,1,1816368,32435,Yes,387330,Rural,6,50000,12,4423,11.21,3076
36,192220,664,0.53,Married,No,Business loan,5,2,207234,6279,No,0,Urban,15,50000,60,1083,10.86,14980
37,123936,641,0.69,Married,No,Medical loan,1,1,906635,16189,Yes,191484,Rural,35,50000,240,519,11.09,74560
50,26279,520,0.5,Married,No,Medical loan,4,2,1621399,33089,No,0,Urban,3,50000,36,1679,12.8,10444
37,209737,372,0.34,Married,No,Business loan,2,1,1655247,35218,Yes,674222,Rural,17,50000,36,1703,13.78,11308
29,113751,345,0.35,Married,No,Education loan,2,3,726146,51867,No,0,Urban,31,50000,60,1164,14.05,19840
64,81386,803,0.2,Married,No,Business loan,1,1,498573,19175,No,0,Urban,31,50000,24,2295,9.47,5080
18,96124,573,0.41,Single,Yes,Auto loan,4,2,832640,37847,Yes,474256,Rural,17,50000,240,508,10.77,71920
43,101911,854,0.72,Single,No,Medical loan,1,1,1829890,40664,No,0,Rural,38,50000,240,448,8.96,57520
31,207742,507,0.76,Married,No,Medical loan,1,3,1260907,33181,Yes,922379,Urban,36,136146,120,1987,12.43,102294
55,231094,423,0.34,Married,No,Personal loan,0,3,1016383,29893,Yes,229914,Urban,27,50000,12,4472,13.27,3664
54,247723,309,0.87,Married,No,Auto loan,4,3,212723,7597,Yes,855932,Urban,38,509217,60,11957,14.41,208203
28,92806,628,0.55,Married,Yes,Medical loan,0,2,522807,15376,No,0,Urban,1,50000,60,1080,10.72,14800
53,217605,486,0.84,Married,Yes,Auto loan,0,0,0,0,Yes,481649,Rural,36,423612,120,5989,11.64,295068
30,240097,842,0.69,Married,No,Auto loan,5,2,897512,19944,Yes,261154,Urban,36,50000,60,1039,9.08,12340
60,207478,359,0.71,Married,No,Education loan,0,3,648947,20279,No,0,Urban,1,50000,36,1718,14.41,11848
20,180591,741,0.26,Married,No,Medical loan,3,1,1269404,28850,Yes,143066,Rural,18,50000,36,1615,10.09,8140
50,175596,516,0.35,Married,Yes,Home loan,2,3,1374475,85904,No,0,Urban,4,50000,60,1108,11.84,16480
23,174957,301,0.21,Married,No,Education loan,2,0,0,0,No,0,Urban,12,50000,240,639,14.49,103360
27,242204,835,0.7,Single,No,Education loan,3,0,0,0,Yes,849456,Urban,21,568839,36,18128,9.15,83769
22,191871,655,0.44,Married,No,Auto loan,1,3,1016208,36293,Yes,341232,Rural,6,50000,60,1098,11.45,15880
40,253154,464,0.75,Married,No,Home loan,4,2,1461016,121751,No,0,Urban,1,50000,36,1693,13.36,10948
27,82307,390,0.44,Single,No,Education loan,4,0,0,0,Yes,728188,Urban,13,393066,240,4774,13.6,752694
61,245998,466,0.77,Married,No,Home loan,4,3,1798602,99922,Yes,218039,Rural,24,50000,120,741,12.84,38920
19,131757,506,0.29,Married,No,Medical loan,0,2,270195,19299,No,0,Urban,25,50000,120,730,12.44,37600
30,63664,581,0.32,Single,Yes,Auto loan,4,1,1924669,52018,No,0,Urban,4,50000,24,2334,11.19,6016
57,176536,364,0.44,Married,No,Education loan,4,2,913709,33841,Yes,694058,Urban,19,50000,60,1159,13.86,19540
19,269438,815,0.49,Single,No,Home loan,4,0,0,0,Yes,255020,Rural,11,233129,12,20425,9.35,11971
37,160528,456,0.44,Single,No,Business loan,2,2,1474413,54607,Yes,492701,Rural,35,50000,36,1683,12.94,10588
18,285553,605,0.73,Married,No,Education loan,3,2,1711666,31121,Yes,701681,Urban,30,154574,120,2168,11.45,105586
54,210399,694,0.27,Married,No,Education loan,5,1,729214,14023,No,0,Urban,16,50000,36,1626,10.56,8536
26,232472,373,0.45,Married,No,Education loan,1,3,262314,10492,Yes,568778,Urban,15,257866,36,8784,13.77,58358
34,241182,486,0.79,Married,No,Home loan,3,2,898668,16339,No,0,Urban,9,50000,240,590,13.14,91600
26,291836,873,0.25,Married,No,Personal loan,4,1,354638,9584,No,0,Rural,34,50000,120,627,8.77,25240
28,99037,636,0.86,Single,No,Medical loan,1,0,0,0,Yes,555316,Urban,32,358571,240,3735,11.14,537829
32,219912,867,0.89,Single,Yes,Education loan,1,3,896912,23602,Yes,92440,Urban,37,50000,36,1562,7.83,6232
41,195272,539,0.26,Married,No,Business loan,3,0,0,0,Yes,673027,Urban,34,379668,24,17891,12.11,49716
55,234135,832,0.4,Single,No,Business loan,3,3,724418,12278,Yes,822489,Urban,26,343514,120,4385,9.18,182686
52,198487,440,0.46,Married,Yes,Auto loan,3,2,1692948,60462,No,0,Urban,6,50000,120,734,12.6,38080
47,28074,564,0.74,Married,Yes,Personal loan,5,2,1259150,22893,No,0,Rural,26,50000,120,684,10.86,32080
48,156621,438,0.62,Married,No,Personal loan,3,3,767557,51170,Yes,925229,Urban,40,50000,36,1687,13.12,10732
22,237434,758,0.65,Single,No,Home loan,5,0,0,0,No,0,Urban,11,115749,240,1110,9.92,150651
61,242679,369,0.73,Married,No,Auto loan,0,0,0,0,No,0,Urban,32,177155,240,2178,13.81,345565
31,62265,684,0.28,Married,Yes,Home loan,2,0,0,0,Yes,770938,Urban,12,401159,24,18448,9.66,41593
28,26061,497,0.78,Single,Yes,Auto loan,5,2,1943212,69400,No,0,Rural,1,50000,120,718,12.03,36160
26,169882,504,0.69,Married,No,Medical loan,2,3,588551,13376,No,0,Urban,2,50000,120,745,12.96,39400
51,123502,867,0.6,Married,Yes,Personal loan,4,3,248160,6052,Yes,752673,Urban,10,319004,240,2734,8.33,337156
29,294944,730,0.82,Married,Yes,Medical loan,0,0,0,0,No,0,Urban,4,241854,36,7769,9.7,37830
52,266505,624,0.69,Single,Yes,Home loan,1,2,1039054,32470,No,0,Rural,1,50000,240,507,10.76,71680
52,117228,741,0.34,Single,Yes,Auto loan,3,3,919744,32848,Yes,178848,Rural,27,50000,24,2286,9.09,4864
18,216548,587,0.5,Married,Yes,Personal loan,4,3,851828,38719,No,0,Urban,12,50000,60,1077,10.63,14620
57,186469,525,0.55,Single,No,Personal loan,1,0,0,0,Yes,67349,Rural,34,131104,60,2932,12.25,44816
39,23233,363,0.24,Single,Yes,Education loan,2,0,0,0,Yes,799578,Urban,39,404807,36,13614,12.87,85297
46,252277,859,0.87,Single,No,Home loan,1,3,600743,14652,No,0,Urban,12,50000,60,1035,8.91,12100
25,166140,797,0.29,Single,No,Education loan,3,2,164547,5674,Yes,443431,Rural,11,194581,60,4089,9.53,50759
28,114135,359,0.69,Single,No,Personal loan,3,1,1860812,60026,No,0,Urban,17,50000,60,1161,13.91,19660
58,227314,696,0.55,Single,No,Home loan,5,3,1415210,31449,Yes,978931,Rural,17,205844,120,2782,10.54,127996
54,23682,556,0.22,Married,No,Home loan,5,3,181720,3494,No,0,Urban,16,50000,60,1110,11.94,16600
31,164455,876,0.85,Married,No,Medical loan,2,2,1602629,41093,No,0,Urban,38,50000,120,626,8.74,25120
47,234404,538,0.8,Married,No,Business loan,3,3,1061237,53061,No,0,Urban,21,50000,60,1115,12.12,16900
52,295810,337,0.57,Married,No,Auto loan,0,1,1154122,20984,Yes,594992,Rural,12,214299,24,10302,14.13,32949
38,101198,324,0.36,Married,No,Business loan,4,2,1687260,40172,Yes,997936,Urban,37,50000,60,1170,14.26,20200
54,51830,709,0.29,Married,No,Business loan,2,1,1831081,32697,Yes,702533,Urban,18,50000,36,1623,10.41,8428
22,20234,760,0.45,Married,Yes,Personal loan,2,1,83588,3095,No,0,Rural,23,50000,120,630,8.9,25600
36,67616,870,0.38,Married,No,Medical loan,1,3,114202,2719,Yes,183777,Urban,18,83669,12,7309,8.8,4039
31,281365,716,0.55,Married,No,Auto loan,2,1,1098438,27460,No,0,Urban,20,50000,36,1621,10.34,8356
43,152482,656,0.88,Married,No,Business loan,4,3,427303,17804,Yes,393742,Urban,23,90570,24,4218,10.94,10662
21,221127,682,0.6,Married,Yes,Business loan,0,3,565958,16645,No,0,Urban,29,50000,60,1054,9.68,13240
42,202485,457,0.82,Married,No,Home loan,1,2,797488,31899,No,0,Rural,27,50000,120,744,12.93,39280
62,11051,868,0.66,Single,No,Personal loan,4,2,1573248,31464,No,0,Rural,34,50000,12,4368,8.82,2416
59,86918,732,0.53,Single,Yes,Business loan,5,2,1475529,113502,No,0,Urban,37,50000,24,2288,9.18,4912
42,88116,347,0.8,Single,No,Auto loan,2,3,1906837,82905,No,0,Rural,16,50000,120,777,14.03,43240
35,238931,627,0.53,Single,No,Education loan,3,1,1827167,46850,No,0,Urban,33,50000,60,1092,11.23,15520
57,218547,732,0.81,Single,No,Education loan,5,1,1726044,40140,No,0,Urban,8,50000,12,4411,10.68,2932
25,236572,730,0.4,Married,No,Personal loan,3,2,921147,26318,No,0,Urban,12,50000,120,666,10.2,29920
56,141379,355,0.29,Married,No,Education loan,4,2,611272,12734,No,0,Rural,13,50000,60,1162,13.95,19720
57,66889,876,0.8,Married,No,Home loan,0,3,560090,14002,No,0,Urban,25,50000,120,626,8.74,25120
31,236256,567,0.61,Single,No,Home loan,3,0,0,0,No,0,Urban,20,122498,60,2714,11.83,40342
49,48134,368,0.82,Married,No,Auto loan,4,0,0,0,Yes,353876,Rural,19,208513,12,18704,13.82,15935
55,212834,900,0.86,Married,No,Medical loan,1,3,248742,4693,No,0,Urban,10,73376,120,929,9.0,38104
50,237579,748,0.24,Single,No,Personal loan,2,0,0,0,Yes,559726,Rural,34,88599,36,2859,10.02,14325
40,35954,556,0.55,Married,No,Personal loan,0,0,0,0,No,0,Rural,30,50000,36,1659,11.94,9724
32,196093,789,0.46,Married,Yes,Education loan,0,0,0,0,No,0,Urban,17,90202,120,1123,8.61,44558
50,236999,348,0.64,Married,Yes,Business loan,1,2,445393,15358,No,0,Rural,13,50000,24,2377,13.02,7048
42,220938,615,0.76,Single,No,Business loan,0,1,724043,51717,No,0,Rural,4,50000,120,713,11.85,35560
34,211499,712,0.4,Married,No,Medical loan,4,1,1809069,75377,No,0,Urban,16,50000,24,2316,10.38,5584
50,277136,733,0.59,Married,No,Business loan,0,2,1457762,60740,Yes,201567,Rural,20,50000,60,1066,10.17,13960
64,11961,301,0.7,Married,Yes,Medical loan,0,2,264375,4988,Yes,704529,Urban,13,203371,60,4678,13.49,77309
19,22497,444,0.29,Married,No,Auto loan,0,2,637564,15939,No,0,Urban,2,50000,60,1152,13.56,19120
31,266446,665,0.77,Married,No,Personal loan,4,0,0,0,No,0,Urban,30,164130,36,5361,10.85,28866
57,285399,719,0.62,Married,No,Education loan,5,3,1634557,125735,No,0,Rural,24,50000,120,669,10.31,30280
57,145639,872,0.86,Single,Yes,Auto loan,2,3,1477376,37881,Yes,276312,Urban,16,50000,60,1008,7.78,10480
56,245889,860,0.44,Married,No,Home loan,3,0,0,0,Yes,605521,Urban,25,394722,36,12533,8.9,56466
23,189075,743,0.28,Single,Yes,Home loan,5,0,0,0,No,0,Rural,16,50000,36,1591,9.07,7276
23,30389,733,0.55,Married,Yes,Home loan,0,2,1536414,26040,No,0,Urban,18,50000,60,1042,9.17,12520
20,185595,854,0.26,Married,No,Medical loan,1,2,662852,44190,Yes,171124,Urban,26,50000,24,2283,8.96,4792
24,223175,356,0.88,Single,Yes,Medical loan,1,1,1295088,80943,No,0,Urban,6,50000,60,1148,13.44,18880
25,13358,861,0.23,Married,Yes,Personal loan,4,2,635579,12711,Yes,143267,Urban,25,50000,120,603,7.89,22360
59,262557,477,0.73,Married,No,Home loan,2,0,0,0,Yes,910090,Urban,4,627544,24,29902,13.23,90104
32,217596,592,0.57,Single,Yes,Medical loan,0,1,1101048,21174,Yes,700448,Urban,1,139594,60,3040,11.08,42806
64,264488,345,0.46,Married,No,Medical loan,4,2,1284294,80268,No,0,Urban,15,50000,12,4490,14.05,3880
46,115982,469,0.25,Single,Yes,Business loan,3,1,1179412,62074,No,0,Urban,10,50000,240,561,12.31,84640
50,238129,570,0.64,Married,No,Medical loan,2,1,1391269,30917,Yes,648073,Urban,38,90194,60,1997,11.8,29626
47,277842,716,0.61,Single,No,Home loan,2,2,914986,25416,Yes,210728,Urban,22,50000,36,1621,10.34,8356
56,103079,438,0.4,Married,Yes,Auto loan,4,3,1350242,35532,No,0,Urban,34,50000,240,554,12.12,82960
44,65805,546,0.84,Married,No,Home loan,5,0,0,0,No,0,Rural,5,50000,24,2366,12.54,6784
53,172421,447,0.41,Married,No,Business loan,1,0,0,0,Yes,186018,Urban,36,160166,60,3646,13.03,58594
46,217849,529,0.51,Single,Yes,Home loan,5,1,311887,17327,Yes,997711,Urban,0,374258,36,12378,11.71,71350
55,248483,673,0.58,Married,No,Education loan,2,3,380790,8101,Yes,54743,Urban,32,59867,60,1294,10.77,17773
50,54041,379,0.27,Married,Yes,Business loan,1,3,1702006,39581,Yes,985731,Urban,17,50000,36,1677,12.71,10372
54,280146,364,0.85,Single,Yes,Personal loan,2,2,1762737,55085,No,0,Rural,2,50000,24,2385,13.36,7240
44,117524,387,0.46,Married,Yes,Home loan,2,2,960369,16558,No,0,Urban,18,50000,120,735,12.63,38200
50,228306,387,0.26,Single,No,Medical loan,2,0,0,0,No,0,Urban,9,53423,24,2568,14.13,8209
21,29738,503,0.47,Married,No,Auto loan,3,2,159530,5501,No,0,Urban,19,50000,12,4453,12.47,3436
39,282847,681,0.62,Married,No,Home loan,1,2,1580283,121560,No,0,Urban,10,50000,120,694,11.19,33280
19,123776,900,0.56,Married,No,Auto loan,3,1,1878804,32961,No,0,Urban,31,50000,240,433,8.5,53920
27,190494,775,0.69,Married,No,Education loan,1,3,1982355,37402,Yes,432282,Urban,39,50000,12,4389,9.75,2668
22,202971,872,0.24,Married,No,Personal loan,3,3,1715222,107201,Yes,99612,Urban,19,50000,60,1032,8.78,11920
27,287785,838,0.4,Single,No,Medical loan,3,2,1742207,31676,No,0,Urban,31,50000,60,1040,9.12,12400
50,278449,513,0.77,Married,No,Business loan,3,2,312402,5894,Yes,911128,Urban,36,567080,60,12720,12.37,196120
55,239334,373,0.26,Married,Yes,Business loan,4,2,450084,9185,Yes,344212,Urban,21,111667,60,2527,12.77,39953
30,290926,360,0.8,Married,No,Personal loan,3,0,0,0,No,0,Rural,3,83026,24,4002,14.4,13022
48,246371,842,0.26,Married,No,Education loan,5,0,0,0,Yes,981025,Urban,12,163165,60,3393,9.08,40415
64,87963,518,0.78,Single,No,Education loan,5,1,1105393,28343,No,0,Urban,5,50000,36,1680,12.82,10480
53,131987,311,0.45,Married,No,Home loan,2,0,0,0,Yes,188364,Urban,28,147636,12,13282,14.39,11748
62,161638,714,0.63,Single,No,Education loan,0,3,1399232,33315,No,0,Rural,1,50000,120,684,10.86,32080
41,134591,331,0.31,Single,No,Home loan,3,0,0,0,Yes,568835,Rural,24,319882,24,15387,14.19,49406
32,77766,459,0.25,Married,No,Auto loan,0,3,1915864,34833,No,0,Urban,31,50000,120,743,12.91,39160
46,16511,536,0.35,Single,No,Personal loan,0,0,0,0,Yes,844061,Urban,25,177931,24,8387,12.14,23357
25,124816,480,0.29,Single,Yes,Auto loan,2,0,0,0,No,0,Rural,25,50000,240,540,11.7,79600
22,259432,857,0.42,Married,No,Auto loan,0,1,979596,27988,No,0,Urban,37,50000,120,631,8.93,25720
46,276909,640,0.56,Single,No,Auto loan,0,2,1550051,35228,Yes,181361,Rural,21,50000,24,2332,11.1,5968
64,161426,757,0.61,Single,No,Auto loan,5,2,1621751,32435,Yes,143397,Urban,9,50000,60,1072,10.43,14320
21,296073,379,0.75,Single,No,Business loan,0,2,933068,40568,Yes,65791,Urban,22,50000,24,2393,13.71,7432
29,169892,772,0.66,Single,No,Education loan,1,1,1229147,24582,No,0,Rural,3,50000,36,1619,10.28,8284
62,121576,411,0.63,Married,Yes,Personal loan,3,3,1020598,51029,No,0,Rural,15,50000,24,2362,12.39,6688
19,81088,591,0.49,Married,No,Personal loan,3,0,0,0,Yes,223152,Urban,32,145349,240,1559,11.59,228811
44,87525,682,0.53,Married,No,Medical loan,0,1,918589,35330,No,0,Rural,12,50000,60,1079,10.68,14740
48,23780,316,0.49,Married,No,Auto loan,2,3,1658987,48793,No,0,Rural,12,50000,12,4497,14.34,3964
53,278733,792,0.79,Single,No,Personal loan,1,1,1025535,18646,Yes,114407,Urban,32,50000,60,1052,9.58,13120
53,114188,630,0.36,Single,Yes,Home loan,2,1,516656,9226,No,0,Urban,13,50000,12,4400,10.2,2800
43,103326,785,0.2,Single,No,Personal loan,2,3,1449241,43916,No,0,Urban,7,50000,24,2310,10.15,5440
60,75785,705,0.66,Married,No,Auto loan,0,2,235930,5019,No,0,Rural,25,50000,60,1073,10.45,14380
44,29309,416,0.34,Married,No,Personal loan,4,0,0,0,Yes,924744,Urban,21,470344,60,10783,13.34,176636
22,64195,854,0.82,Married,No,Education loan,0,2,575446,27402,Yes,213318,Urban,0,50000,120,645,9.46,27400
37,35901,414,0.8,Single,No,Auto loan,5,1,240545,6167,Yes,599596,Urban,15,247334,120,3745,13.36,202066
28,164648,848,0.25,Single,No,Business loan,4,3,935330,20333,No,0,Urban,28,50000,24,2284,9.02,4816
27,35464,846,0.27,Married,No,Education loan,1,1,306653,7666,No,0,Urban,22,50000,60,1038,9.04,12280
57,288404,635,0.55,Single,No,Personal loan,4,2,1818656,113666,Yes,433500,Urban,4,50000,120,707,11.65,34840
55,134997,635,0.63,Married,No,Business loan,0,2,1378854,91923,Yes,201032,Rural,20,50000,24,2333,11.15,5992
23,66683,446,0.39,Married,No,Medical loan,0,2,328930,12651,Yes,959105,Urban,35,248467,24,11817,13.04,35141
25,182502,421,0.7,Married,No,Education loan,2,0,0,0,No,0,Urban,19,114976,60,2633,13.29,43004
40,166177,380,0.62,Married,Yes,Medical loan,0,2,1189509,29012,Yes,130986,Urban,7,50000,120,752,13.2,40240
64,88484,674,0.43,Married,No,Home loan,5,0,0,0,No,0,Urban,25,50000,120,681,10.76,31720
43,259819,869,0.22,Married,Yes,Education loan,0,0,0,0,No,0,Urban,40,57160,12,4967,7.81,2444
63,216486,362,0.73,Married,Yes,Business loan,3,2,1020494,27580,No,0,Urban,24,50000,24,2374,12.88,6976
60,151449,803,0.35,Single,No,Medical loan,3,3,1415750,41639,No,0,Urban,6,50000,24,2306,9.97,5344
29,63592,748,0.78,Married,No,Home loan,2,1,584782,11695,Yes,679440,Urban,21,244021,36,7876,10.02,39515
43,148419,727,0.49,Married,No,Medical loan,4,1,1564818,39120,No,0,Urban,32,50000,120,667,10.23,30040
30,65798,726,0.6,Single,Yes,Personal loan,4,0,0,0,No,0,Urban,4,50000,60,1055,9.74,13300
57,145370,720,0.81,Married,No,Auto loan,3,0,0,0,No,0,Rural,37,100087,60,2141,10.3,28373
35,253767,621,0.8,Single,No,Medical loan,5,0,0,0,Yes,774678,Urban,11,289756,240,3048,11.29,441764
42,30922,465,0.46,Married,No,Personal loan,1,1,1649137,49973,Yes,482899,Rural,13,50000,60,1133,12.85,17980
50,236817,896,0.35,Married,No,Auto loan,5,0,0,0,No,0,Rural,6,62164,36,1977,9.04,9008
64,12866,760,0.74,Single,No,Auto loan,3,3,406184,8830,No,0,Urban,27,50000,120,657,9.9,28840
57,122669,758,0.5,Single,Yes,Business loan,5,3,457976,7762,No,0,Rural,15,50000,36,1588,8.92,7168
60,278042,488,0.33,Married,No,Home loan,1,0,0,0,No,0,Urban,40,87166,36,2921,12.62,17990
29,290539,763,0.83,Married,No,Home loan,4,1,612590,10561,No,0,Urban,1,66185,12,5830,10.37,3775
61,180091,678,0.34,Married,No,Education loan,3,2,907254,31284,Yes,226703,Rural,30,50000,24,2323,10.72,5752
53,276150,301,0.22,Single,Yes,Personal loan,0,1,1406260,30570,No,0,Urban,35,50000,60,1150,13.49,19000
65,175465,663,0.21,Married,No,Business loan,1,2,999934,17542,No,0,Urban,13,50000,120,685,10.87,32200
21,283100,371,0.64,Married,No,Medical loan,1,2,874851,19882,No,0,Rural,27,50000,120,770,13.79,42400
22,131724,726,0.66,Single,Yes,Personal loan,1,0,0,0,No,0,Urban,31,82590,60,1724,9.24,20850
54,72901,469,0.42,Single,No,Medical loan,4,3,561583,31199,Yes,579225,Urban,27,50000,60,1132,12.81,17920
25,210569,504,0.42,Single,No,Medical loan,5,0,0,0,Yes,388663,Urban,11,260660,60,5859,12.46,90880
59,127192,636,0.44,Single,No,Medical loan,2,2,1757488,39055,No,0,Urban,12,50000,24,2333,11.14,5992
45,182646,771,0.68,Married,No,Education loan,0,0,0,0,Yes,801330,Urban,21,524864,60,11097,9.79,140956
48,104881,494,0.24,Single,Yes,Education loan,3,2,1420291,67632,No,0,Rural,28,50000,24,2343,11.56,6232
26,252934,574,0.85,Married,No,Business loan,5,0,0,0,No,0,Rural,29,161245,60,3567,11.76,52775
46,142659,306,0.36,Married,No,Education loan,1,3,1601966,45770,Yes,191302,Urban,14,50000,36,1719,14.44,11884
31,131688,865,0.9,Single,No,Business loan,4,3,466838,12967,No,0,Urban,39,50000,120,629,8.85,25480
57,125584,872,0.32,Married,No,Education loan,1,1,98829,1675,Yes,146422,Rural,3,91288,36,2914,9.28,13616
58,195782,898,0.74,Single,Yes,Home loan,5,2,972500,17681,No,0,Urban,32,50000,120,594,7.52,21280
39,232820,477,0.36,Married,No,Business loan,3,2,870664,22912,Yes,606282,Urban,8,99439,120,1498,13.23,80321
28,226896,541,0.26,Single,No,Home loan,0,0,0,0,No,0,Urban,37,58992,24,2779,12.09,7704
40,189689,502,0.81,Married,Yes,Home loan,1,1,374227,22013,No,0,Urban,15,50000,60,1099,11.48,15940
18,175289,842,0.8,Married,No,Business loan,4,3,1072090,56425,No,0,Urban,25,50000,60,1039,9.08,12340
63,293028,761,0.48,Married,No,Personal loan,4,0,0,0,No,0,Urban,26,112522,36,3624,9.89,17942
54,277598,379,0.69,Married,No,Auto loan,2,1,890466,27827,No,0,Urban,10,50000,36,1713,14.21,11668
38,84960,822,0.59,Married,No,Education loan,4,3,809909,15575,No,0,Urban,25,50000,120,640,9.28,26800
43,112421,716,0.8,Single,No,Medical loan,2,0,0,0,No,0,Urban,13,80943,120,1084,10.34,49137
63,248245,683,0.42,Married,No,Education loan,0,3,613667,20455,No,0,Urban,0,50000,60,1091,11.17,15460
53,53618,690,0.57,Married,Yes,Medical loan,3,2,1784938,39665,No,0,Urban,10,50000,240,485,10.1,66400
40,57111,425,0.54,Married,No,Personal loan,2,1,872300,17446,Yes,717070,Urban,29,176938,36,5983,13.25,38450
